,P,MR,Cv,Cp,T,R
0,500000.0,0.1,2598.364720739106,3171.696032917742,825.2046856569063,573.3313121786359
1,555555.5555555555,0.1,2601.42078047465,3171.8594471051833,829.2356956569904,570.4386666305329
2,611111.1111111111,0.1,2604.2282573695466,3172.0695066876165,832.8814579493925,567.8412493180696
3,666666.6666666666,0.1,2606.826135721143,3172.3126163728152,836.2084196607218,565.4864806516716
4,722222.2222222222,0.1,2609.2447272983877,3172.5792930969865,839.2671879802426,563.3345657985993
5,777777.7777777778,0.1,2611.5080933154154,3172.8627668382715,842.0972011517639,561.3546735228564
6,833333.3333333333,0.1,2613.6356659105586,3173.158105164315,844.7297917343076,559.522439253757
7,888888.8888888889,0.1,2615.6433781149176,3173.461660213512,847.1902687721021,557.8182820985944
8,944444.4444444445,0.1,2617.544464518742,3173.7706985902846,849.4993700381641,556.226234071543
9,1000000.0,0.1,2619.3500419392108,3174.0831474748143,851.6743000852191,554.7331055356032
10,1055555.5555555555,0.1,2621.0695477492213,3174.397428353842,853.7294928509266,553.3278806046202
11,1111111.111111111,0.1,2622.7110592023814,3174.712323195915,855.6771734405395,552.0012639935335
12,1166666.6666666665,0.1,2624.281548934949,3175.0268925172554,857.5277889590891,550.745343582306
13,1222222.2222222222,0.1,2625.787078674941,3175.340408577246,859.2903370276123,549.553329902305
14,1277777.7777777778,0.1,2627.23295279998,3175.6523071876773,860.9726221273983,548.4193543876972
15,1333333.3333333335,0.1,2628.6238397621046,3175.9621503442854,862.5814572184328,547.3383105821804
16,1388888.888888889,0.1,2629.9638743724195,3176.2696038087374,864.1228265934488,546.3057294363183
17,1444444.4444444445,0.1,2631.256731421189,3176.5744081261864,865.6020124143992,545.3176767049969
18,1500000.0,0.1,2632.505695906978,3176.876367763983,867.0237021695058,544.3706718570052
19,1555555.5555555555,0.1,2633.7137157570014,3177.1753372261455,868.3920742284233,543.4616214691445
20,1611111.111111111,0.1,2634.883446859559,3177.4712109406128,869.710868969139,542.5877640810535
21,1666666.6666666667,0.1,2636.0172907564834,3177.7639153768732,870.9834479003923,541.7466246203902
22,1722222.2222222222,0.1,2637.117426409391,3178.0534027752847,872.2128431325125,540.9359763658935
23,1777777.7777777778,0.1,2638.1858371276235,3178.3396461299626,873.4017990277854,540.1538090023388
24,1833333.3333333333,0.1,2639.2243335202643,3178.622635155799,874.5528074691836,539.3983016355346
25,1888888.8888888888,0.1,2640.2345736029056,3178.902373595812,875.6681381257449,538.6677999929065
26,1944444.4444444445,0.1,2641.218076866721,3179.178872764856,876.7498626562129,537.9607958981361
27,2000000.0,0.1,2642.176246109894,3179.4521593322534,877.7998804459102,537.2759132223592
28,2055555.5555555555,0.1,2643.11037118603,3179.722260920216,878.8199332181204,536.6118897341858
29,2111111.111111111,0.1,2644.021645850177,3179.9892128913502,879.8116244186727,535.9675670411735
30,2166666.666666667,0.1,2644.9111752172703,3180.2530541152046,880.7764324724548,535.341878897934
31,2222222.222222222,0.1,2645.7799856101065,3180.5138276506264,881.7157240917816,534.7338420405206
32,2277777.777777778,0.1,2646.6290311236603,3180.771578782884,882.6307648014795,534.1425476592237
33,2333333.333333333,0.1,2647.459200504574,3181.0263546705514,883.522728786369,533.5671541659777
34,2388888.888888889,0.1,2648.271322064275,3181.2782025496904,884.3927069183189,533.0068804854153
35,2444444.4444444445,0.1,2649.0661732150434,3181.5271748885248,885.2417167102493,532.4610016734816
36,2500000.0,0.1,2649.844477818483,3181.7733192378364,886.0707051638469,531.9288414193538
37,2555555.5555555555,0.1,2650.606916488442,3182.0166870152125,886.8805576624762,531.4097705267703
38,2611111.111111111,0.1,2651.3541274528025,3182.2573277196198,887.6721024865006,530.9032002668168
39,2666666.6666666665,0.1,2652.0867109245573,3182.4952913554816,888.446115634414,530.408580430924
40,2722222.222222222,0.1,2652.8052318825876,3182.730627583671,889.2033251304814,529.9253957010836
41,2777777.7777777775,0.1,2653.5102226697104,3182.963385416758,889.9444148457582,529.4531627470477
42,2833333.3333333335,0.1,2654.202185771347,3183.193613492965,890.6700281286037,528.9914277216179
43,2888888.888888889,0.1,2654.8815947668936,3183.421358386621,891.3807701841322,528.539763619727
44,2944444.4444444445,0.1,2655.5489003177254,3183.6466695926897,892.0772133160139,528.0977692749639
45,3000000.0,0.1,2656.204525756835,3183.8695911144305,892.7598959179488,527.6650653575948
46,3055555.5555555555,0.1,2656.848874204648,3184.09016967615,893.4293273837185,527.2412954715018
47,3111111.111111111,0.1,2657.482327166434,3184.3084487613296,894.0859896461345,526.8261215948954
48,3166666.6666666665,0.1,2658.105247242085,3184.5244719807006,894.7303389492272,526.4192247386155
49,3222222.222222222,0.1,2658.7179789462825,3184.7382820295365,895.36280776157,526.0203030832539
50,3277777.7777777775,0.1,2659.3208499957086,3184.949920544593,895.9838062685342,525.629070548884
51,3333333.3333333335,0.1,2659.9141721342567,3185.1594278643197,896.5937239034863,525.245255730063
52,3388888.888888889,0.1,2660.49824305062,3185.3668448766084,897.1929309236181,524.8686018259881
53,3444444.4444444445,0.1,2661.0733457569036,3185.5722096850495,897.781779338018,524.4988639281462
54,3500000.0,0.1,2661.639749983961,3185.7755593429174,898.3606038344424,524.1358093589563
55,3555555.5555555555,0.1,2662.1977155441787,3185.976933068393,898.9297247049586,523.7792175242145
56,3611111.111111111,0.1,2662.7474882066,3186.176365770922,899.4894457036285,523.428877564322
57,3666666.6666666665,0.1,2663.2893039237792,3186.373892747324,900.0400572304176,523.084588823545
58,3722222.222222222,0.1,2663.823388403816,3186.5695482101596,900.5818365636009,522.7461598063437
59,3777777.7777777775,0.1,2664.3499577048347,3186.763365975106,901.1150482979605,522.4134082702715
60,3833333.3333333335,0.1,2664.869220017821,3186.9553795966644,901.639946696456,522.0861595788435
61,3888888.888888889,0.1,2665.381373067478,3187.145620371481,902.1567732055914,521.7642473040038
62,3944444.4444444445,0.1,2665.886607626847,3187.334119647221,902.6657600561382,521.4475120203739
63,4000000.0,0.1,2666.385106608496,3187.520907892638,903.1671294584913,521.1358012841423
64,4055555.5555555555,0.1,2666.8770456901584,3187.706014836068,903.6610943974396,520.8289691459097
65,4111111.111111111,0.1,2667.3625936938797,3187.889469484187,904.1478591342784,520.5268757903076
66,4166666.6666666665,0.1,2667.8419129833546,3188.0713001975205,904.6276196870734,520.229387214166
67,4222222.222222222,0.1,2668.315159613198,3188.251534466883,905.1005642176593,519.9363748536855
68,4277777.777777778,0.1,2668.782483237505,3188.4301984314443,905.5668731592805,519.6477151939388
69,4333333.333333334,0.1,2669.244030494005,3188.6073208260796,906.0267211894508,519.3632903320746
70,4388888.888888889,0.1,2669.6999392140583,3188.782925313944,906.4802747443115,519.0829860998858
71,4444444.444444444,0.1,2670.150343931716,3188.9570369288494,906.9276946127178,518.8066929971334
72,4500000.0,0.1,2670.5953736232177,3189.129679907473,907.3691349193881,518.5343062842551
73,4555555.555555556,0.1,2671.035156188904,3189.3008811734117,907.8047465198218,518.2657249845083
74,4611111.111111111,0.1,2671.469809292834,3189.470660501719,908.2346712478393,518.0008512088855
75,4666666.666666666,0.1,2671.8994504651705,3189.639041905306,908.6590480513977,517.739591440136
76,4722222.222222222,0.1,2672.3241923369487,3189.806047699346,909.0780104476846,517.4818553623968
