,t,N_pump,p_pump,eta_pump,tau_pump,tau_turbine,T_gg_comb,Pcc_gg,MR_gg,dp_dt_gg,m_dot_gg_inj_fu,m_dot_gg_inj_ox,p_gg_inj_ox,p_gg_inj_fu,T_me_comb,Pcc_me,MR_me,dp_dt_me,m_dot_me_inj_fu,m_dot_me_inj_ox,p_me_inj_ox,p_me_inj_fu,m_dot_gg_mov,m_dot_gg_mfv,m_dot_me_mov,m_dot_me_mfv
0,0.0,0.010471975511965976,3000000.0000000466,0.0,0,0,295,100000.0,0,0,0,0,100000.0,100000.0,295,100000.0,0,0,0,0,100000.0,100000.0,0,0,0,0
1,0.05,0.010471975511965976,3000000.0000000466,1.0882792377107483e-06,1.7696098762049492e-10,0.0,0,100000.0,0,0,0,0,100000.00016827391,100000.00007777169,0,100000.0,0,0,0,0,100000.0,100000.0,4.414385527717922e-08,3.391709754051754e-08,0.0,0.0
2,0.051188584397340225,0.010471974244337125,3000000.0000000466,0.0,1.7696096619943129e-10,0.0,0,100000.0,0,0,1.0779942696047655e-07,1.5856746010696511e-07,520668.48708336876,294423.3045632484,0,100000.0,0,0,0,0,100000.0,100000.0,0.0022072658954746375,0.0016959110663280629,0.0,0.0
3,[0.05128229],0.010471974214203452,3000000.0,0.0,1.7696096569021647e-10,0.0,840.3390769711297,100000.0,1.4709429515777686,[1.06711663e+08],0.005389889204322568,0.007928219534883388,504361.02482000116,288844.554212422,0,100000.0,0,0,0,0,100000.0,100000.0,0.004328987588603481,0.0033429541952859194,0.0,0.0
4,[0.05138082],[2405.18517604],3000000.0,[0.],[1.76960966e-10],[0.0004817],847.0549578090768,[110000.],[1.48494078],[1.01499797e+08],[0.00516944],[0.00767631],[503917.96549897],[288803.26197766],0,100000.0,0,0,0,0,[100000.],[100000.],[0.00643601],[0.00497727],[0.],[0.]
5,[0.05148184],[2405.18517604],3000000.0,[0.],[1.77075861e-10],[0.00233818],859.726326184916,[120000.],[1.50809535],[98991140.01903668],[0.00502222],[0.00757399],[504275.06156234],[289159.11154605],0,100000.0,0,0,0,0,[100000.],[100000.],[0.00852482],[0.0065974],[0.],[0.]
6,[0.05158479],[2405.18517604],3000000.0,[0.],[1.77647701e-10],[0.00559929],877.9110580525476,[130000.],[1.53348556],[97127532.4535522],[0.00487665],[0.00747827],[505475.43702859],[289929.70813281],0,100000.0,0,0,0,0,[100000.],[100000.],[0.01059549],[0.0082034],[0.],[0.]
7,[0.05168939],[2405.18517604],3000000.0,[0.],[1.79043375e-10],[0.01008775],900.4801900503317,[140000.],[1.56129601],[95606305.09080884],[0.00473314],[0.00738984],[507539.10797311],[291124.79402676],0,100000.0,0,0,0,0,[100000.],[100000.],[0.01264803],[0.00979533],[0.],[0.]
8,[0.05179536],[2405.18517604],3000000.0,[0.],[1.81597847e-10],[0.01560222],927.043068582657,[150000.],[1.59169597],[94366753.75963797],[0.00459206],[0.00730916],[510478.93619662],[292751.17295812],0,100000.0,0,0,0,0,[100000.],[100000.],[0.01468246],[0.01137324],[0.],[0.]
9,[0.05190251],[2405.18517604],3000000.0,[0.],[1.8560062e-10],[0.02195926],956.7691172037223,[160000.],[1.6248444],[93323468.00328892],[0.00445374],[0.00723663],[514301.17540987],[294812.53580504],0,100000.0,0,0,0,0,[100000.],[100000.],[0.0166988],[0.01293715],[0.],[0.]
10,[0.05201072],[2405.18517604],3000000.0,[0.],[1.91297279e-10],[0.02900439],989.0197709062668,[170000.],[1.66088724],[92417484.16671379],[0.00431852],[0.00717257],[519008.52096882],[297310.99558011],0,100000.0,0,0,0,0,[100000.],[100000.],[0.01869703],[0.0144871],[0.],[0.]
11,[0.05211987],[2405.18517604],3000000.0,[0.],[1.98895346e-10],[0.03661334],1023.4334809517148,[180000.],[1.69994921],[91618317.18448548],[0.00418673],[0.00711723],[524601.58065018],[300247.74821031],0,100000.0,0,0,0,0,[100000.],[100000.],[0.02067715],[0.0160231],[0.],[0.]
12,[0.05222986],[2405.18517604],3000000.0,[0.],[2.08570335e-10],[0.04468924],1059.7954756394395,[190000.],[1.74212427],[90910834.06230478],[0.00405873],[0.00707082],[531079.06078084],[303623.09352044],0,100000.0,0,0,0,0,[100000.],[100000.],[0.02263914],[0.01754518],[0.],[0.]
